id,g__coordinates,g__type,description,marker_color,name,stroke
4ivpxeDkBy4AwRPe,"[-78.760773, -0.079583605]",Point,"Real for Pleurothallis at 2.4m h, canopy ~21m",red,"6 de marzo de 2026, 9:59",
pXMlJDeC8zSUoR2I,"[-78.761561, -0.080206124]",Point,Sudamelycaste maybe fimbriata  at 6.2m one big individual with flower and fruit At 7.4m young smaller At 6.2 small At 7.8 super small  Maxillaria sp1  Between 18 and 26m covering all branches  Tree 35m +,red,"6 de marzo de 2026, 10:17",
B9Gha0K3abo3gHyZ,"[-78.761578, -0.080372114]",Point,Xylobium sp1 At 3.1 m big individual At 5.5m smaller individual At 2m smaller individual,red,"6 de marzo de 2026, 10:38",
TctN7i76Z961Ti5K,"[-78.761599, -0.080420531]",Point,Sudamelycaste sp1 At 6m  Maybe the same one At 7.5m  Arbol 18m,red,"6 de marzo de 2026, 10:46",
yWo1vJ4Igg0J3k4a,"[-78.761675, -0.080581893]",Point,Xylobium At 3.2 in a dead tree of 4.6m up to the top 6 in total,red,"6 de marzo de 2026, 10:58",
OwttagUPxOnisaBX,"[-78.762004, -0.080693401]",Point,Juvenile Sudamelycaste sp.  At 4.7m height Tree 8.7 m,red,"6 de marzo de 2026, 11:11",
EQUD9J37JXzBPsHx,"[-78.762378, -0.0807594]",Point,Maxillaria sp. Same one in the Sudamelycaste tree  5.7 m h Tree 19m,red,"6 de marzo de 2026, 11:31",
xYPViYXopXeWIRgw,"[[-78.760735, -0.079626963], [-78.760865, -0.079638383], [-78.761018, -0.079670393], [-78.761106, -0.079626328], [-78.761182, -0.07968753], [-78.76125, -0.079764207], [-78.76134, -0.079840444], [-78.761199, -0.080296596], [-78.761357, -0.080145318], [-78.76152, -0.080014855], [-78.761553, -0.080147479], [-78.761483, -0.08021826], [-78.761567, -0.080120661], [-78.761452, -0.080288327], [-78.7616, -0.080368489], [-78.761502, -0.080387256], [-78.761651, -0.080395927], [-78.761514, -0.080458742], [-78.761603, -0.080415626], [-78.761509, -0.080328388], [-78.761709, -0.080421822], [-78.761706, -0.080190398], [-78.761599, -0.080420531], [-78.761726, -0.080544143], [-78.76155, -0.080496401], [-78.761494, -0.080605915], [-78.761689, -0.080537548], [-78.761632, -0.080641787], [-78.761875, -0.080720696], [-78.76193, -0.080802204], [-78.762004, -0.080693401], [-78.76218, -0.08065936], [-78.762094, -0.080757517], [-78.762179, -0.080706531], [-78.762293, -0.080687195], [-78.762434, -0.080718299], [-78.762548, -0.080753081], [-78.762409, -0.080804532], [-78.762528, -0.080779426], [-78.762409, -0.080913012], [-78.762723, -0.081074979], [-78.762666, -0.080969282], [-78.762563, -0.080905979], [-78.762665, -0.080949201], [-78.762691, -0.081047417]]",LineString,,,"6 de marzo de 2026, 15:21",#249CF2
